"","penalty","mixture",".metric",".estimator","mean","n","std_err",".config","model"
"1",1e-05,0,"accuracy","binary",0.715782253511148,5,0.000698055919451217,"Preprocessor1_Model01","Logistic regression(Tuned)"
"2",1e-05,0,"f_meas","binary",0.833811863881751,5,0.000294506894107327,"Preprocessor1_Model01","Logistic regression(Tuned)"
"3",1e-05,0,"kap","binary",0.0113620794976243,5,0.00459502256549998,"Preprocessor1_Model01","Logistic regression(Tuned)"
"4",1e-05,0,"roc_auc","binary",0.571268224604246,5,0.00705589048469702,"Preprocessor1_Model01","Logistic regression(Tuned)"
"5",1e-05,0,"sens","binary",0.998283566003062,5,0.000795431131231011,"Preprocessor1_Model01","Logistic regression(Tuned)"
"6",1e-05,0,"spec","binary",0.00974887305068226,5,0.00394650412807891,"Preprocessor1_Model01","Logistic regression(Tuned)"
"7",1e-04,0,"accuracy","binary",0.715782253511148,5,0.000698055919451217,"Preprocessor1_Model02","Logistic regression(Tuned)"
"8",1e-04,0,"f_meas","binary",0.833811863881751,5,0.000294506894107327,"Preprocessor1_Model02","Logistic regression(Tuned)"
"9",1e-04,0,"kap","binary",0.0113620794976243,5,0.00459502256549998,"Preprocessor1_Model02","Logistic regression(Tuned)"
"10",1e-04,0,"roc_auc","binary",0.571268224604246,5,0.00705589048469702,"Preprocessor1_Model02","Logistic regression(Tuned)"
"11",1e-04,0,"sens","binary",0.998283566003062,5,0.000795431131231011,"Preprocessor1_Model02","Logistic regression(Tuned)"
"12",1e-04,0,"spec","binary",0.00974887305068226,5,0.00394650412807891,"Preprocessor1_Model02","Logistic regression(Tuned)"
"13",0.001,0,"accuracy","binary",0.715782253511148,5,0.000698055919451217,"Preprocessor1_Model03","Logistic regression(Tuned)"
"14",0.001,0,"f_meas","binary",0.833811863881751,5,0.000294506894107327,"Preprocessor1_Model03","Logistic regression(Tuned)"
"15",0.001,0,"kap","binary",0.0113620794976243,5,0.00459502256549998,"Preprocessor1_Model03","Logistic regression(Tuned)"
"16",0.001,0,"roc_auc","binary",0.571268224604246,5,0.00705589048469702,"Preprocessor1_Model03","Logistic regression(Tuned)"
"17",0.001,0,"sens","binary",0.998283566003062,5,0.000795431131231011,"Preprocessor1_Model03","Logistic regression(Tuned)"
"18",0.001,0,"spec","binary",0.00974887305068226,5,0.00394650412807891,"Preprocessor1_Model03","Logistic regression(Tuned)"
"19",0.01,0,"accuracy","binary",0.715670832898335,5,0.000766487473709342,"Preprocessor1_Model04","Logistic regression(Tuned)"
"20",0.01,0,"f_meas","binary",0.833757663351221,5,0.000331646405331152,"Preprocessor1_Model04","Logistic regression(Tuned)"
"21",0.01,0,"kap","binary",0.0108071400085604,5,0.00486323313746515,"Preprocessor1_Model04","Logistic regression(Tuned)"
"22",0.01,0,"roc_auc","binary",0.571264879203803,5,0.00705627726168217,"Preprocessor1_Model04","Logistic regression(Tuned)"
"23",0.01,0,"sens","binary",0.998283566003062,5,0.000795431131231011,"Preprocessor1_Model04","Logistic regression(Tuned)"
