"","cost","rbf_sigma",".metric",".estimator","mean","n","std_err",".config","model"
"1",0.0485903569205137,0.073771150821348,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model01","SVM(Tuned)"
"2",0.0485903569205137,0.073771150821348,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model01","SVM(Tuned)"
"3",0.0485903569205137,0.073771150821348,"kap","binary",0,5,0,"Preprocessor1_Model01","SVM(Tuned)"
"4",0.0485903569205137,0.073771150821348,"sens","binary",1,5,0,"Preprocessor1_Model01","SVM(Tuned)"
"5",0.0485903569205137,0.073771150821348,"spec","binary",0,5,0,"Preprocessor1_Model01","SVM(Tuned)"
"6",0.21238762085229,1.03623517188789e-05,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model02","SVM(Tuned)"
"7",0.21238762085229,1.03623517188789e-05,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model02","SVM(Tuned)"
"8",0.21238762085229,1.03623517188789e-05,"kap","binary",0,5,0,"Preprocessor1_Model02","SVM(Tuned)"
"9",0.21238762085229,1.03623517188789e-05,"sens","binary",1,5,0,"Preprocessor1_Model02","SVM(Tuned)"
"10",0.21238762085229,1.03623517188789e-05,"spec","binary",0,5,0,"Preprocessor1_Model02","SVM(Tuned)"
"11",18.0598965765387,0.0350525179082274,"accuracy","binary",0.714779592418391,5,0.00089868097945932,"Preprocessor1_Model03","SVM(Tuned)"
"12",18.0598965765387,0.0350525179082274,"f_meas","binary",0.832907638479339,5,0.000612972970861938,"Preprocessor1_Model03","SVM(Tuned)"
"13",18.0598965765387,0.0350525179082274,"kap","binary",0.0126660430364479,5,0.00278489971151742,"Preprocessor1_Model03","SVM(Tuned)"
"14",18.0598965765387,0.0350525179082274,"sens","binary",0.99531822959101,5,0.00141778514643227,"Preprocessor1_Model03","SVM(Tuned)"
"15",18.0598965765387,0.0350525179082274,"spec","binary",0.013650554337232,5,0.00238742285337488,"Preprocessor1_Model03","SVM(Tuned)"
"16",0.00311868615555329,0.308497961608959,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model04","SVM(Tuned)"
"17",0.00311868615555329,0.308497961608959,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model04","SVM(Tuned)"
"18",0.00311868615555329,0.308497961608959,"kap","binary",0,5,0,"Preprocessor1_Model04","SVM(Tuned)"
"19",0.00311868615555329,0.308497961608959,"sens","binary",1,5,0,"Preprocessor1_Model04","SVM(Tuned)"
"20",0.00311868615555329,0.308497961608959,"spec","binary",0,5,0,"Preprocessor1_Model04","SVM(Tuned)"
"21",0.00407775092163852,6.12702729290224e-08,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model05","SVM(Tuned)"
"22",0.00407775092163852,6.12702729290224e-08,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model05","SVM(Tuned)"
"23",0.00407775092163852,6.12702729290224e-08,"kap","binary",0,5,0,"Preprocessor1_Model05","SVM(Tuned)"
"24",0.00407775092163852,6.12702729290224e-08,"sens","binary",1,5,0,"Preprocessor1_Model05","SVM(Tuned)"
"25",0.00407775092163852,6.12702729290224e-08,"spec","binary",0,5,0,"Preprocessor1_Model05","SVM(Tuned)"
"26",0.533132261994802,2.12715517573376e-08,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model06","SVM(Tuned)"
"27",0.533132261994802,2.12715517573376e-08,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model06","SVM(Tuned)"
"28",0.533132261994802,2.12715517573376e-08,"kap","binary",0,5,0,"Preprocessor1_Model06","SVM(Tuned)"
"29",0.533132261994802,2.12715517573376e-08,"sens","binary",1,5,0,"Preprocessor1_Model06","SVM(Tuned)"
"30",0.533132261994802,2.12715517573376e-08,"spec","binary",0,5,0,"Preprocessor1_Model06","SVM(Tuned)"
"31",0.0888828673296233,1.27230276526051e-07,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model07","SVM(Tuned)"
"32",0.0888828673296233,1.27230276526051e-07,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model07","SVM(Tuned)"
"33",0.0888828673296233,1.27230276526051e-07,"kap","binary",0,5,0,"Preprocessor1_Model07","SVM(Tuned)"
"34",0.0888828673296233,1.27230276526051e-07,"sens","binary",1,5,0,"Preprocessor1_Model07","SVM(Tuned)"
"35",0.0888828673296233,1.27230276526051e-07,"spec","binary",0,5,0,"Preprocessor1_Model07","SVM(Tuned)"
"36",0.420723042718639,0.000819412437469215,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model08","SVM(Tuned)"
"37",0.420723042718639,0.000819412437469215,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model08","SVM(Tuned)"
"38",0.420723042718639,0.000819412437469215,"kap","binary",0,5,0,"Preprocessor1_Model08","SVM(Tuned)"
"39",0.420723042718639,0.000819412437469215,"sens","binary",1,5,0,"Preprocessor1_Model08","SVM(Tuned)"
"40",0.420723042718639,0.000819412437469215,"spec","binary",0,5,0,"Preprocessor1_Model08","SVM(Tuned)"
"41",0.130968294646231,6.9499770709341e-07,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model09","SVM(Tuned)"
"42",0.130968294646231,6.9499770709341e-07,"f_meas","binary",0.833290001090183,5,4.33652839748822e-05,"Preprocessor1_Model09","SVM(Tuned)"
"43",0.130968294646231,6.9499770709341e-07,"kap","binary",0,5,0,"Preprocessor1_Model09","SVM(Tuned)"
"44",0.130968294646231,6.9499770709341e-07,"sens","binary",1,5,0,"Preprocessor1_Model09","SVM(Tuned)"
