"","mtry","min_n","tree_depth","learn_rate","loss_reduction","sample_size",".metric",".estimator","mean","n","std_err",".config","model"
"1",261,32,5,4.91810863152482e-09,0.753744942808541,0.620619682518765,"accuracy","binary",0.714779157320448,5,0.000556765299632349,"Preprocessor1_Model01","XGBOOST(Tuned)"
"2",261,32,5,4.91810863152482e-09,0.753744942808541,0.620619682518765,"roc_auc","binary",0.600869256880116,5,0.00348058492418391,"Preprocessor1_Model01","XGBOOST(Tuned)"
"3",247,24,3,1.84734483525161e-07,1.37603941242272e-07,0.89680207065586,"accuracy","binary",0.713776931256356,5,0.00187400233395578,"Preprocessor1_Model02","XGBOOST(Tuned)"
"4",247,24,3,1.84734483525161e-07,1.37603941242272e-07,0.89680207065586,"roc_auc","binary",0.588863668511247,5,0.00500666756659556,"Preprocessor1_Model02","XGBOOST(Tuned)"
"5",59,13,11,3.01227152358105e-10,9.51356332692117e-09,0.107363919824362,"accuracy","binary",0.714222054256381,5,6.37182921368869e-05,"Preprocessor1_Model03","XGBOOST(Tuned)"
"6",59,13,11,3.01227152358105e-10,9.51356332692117e-09,0.107363919824362,"roc_auc","binary",0.553644039830426,5,0.00691292094405151,"Preprocessor1_Model03","XGBOOST(Tuned)"
"7",205,11,10,9.90860168731651e-05,1.42123358910915,0.512045536367223,"accuracy","binary",0.714779281535178,5,0.000987452196214252,"Preprocessor1_Model04","XGBOOST(Tuned)"
"8",205,11,10,9.90860168731651e-05,1.42123358910915,0.512045536367223,"roc_auc","binary",0.613870999782714,5,0.00542665485730825,"Preprocessor1_Model04","XGBOOST(Tuned)"
"9",39,5,11,0.00545532604022001,0.000581777950441543,0.268722516359761,"accuracy","binary",0.709205455231753,5,0.00273405275928709,"Preprocessor1_Model05","XGBOOST(Tuned)"
"10",39,5,11,0.00545532604022001,0.000581777950441543,0.268722516359761,"roc_auc","binary",0.617018200165546,5,0.00712887311341453,"Preprocessor1_Model05","XGBOOST(Tuned)"
"11",178,39,7,0.000164547659302164,5.62204084471916e-08,0.579343879712746,"accuracy","binary",0.714779157320448,5,0.000556765299632349,"Preprocessor1_Model06","XGBOOST(Tuned)"
"12",178,39,7,0.000164547659302164,5.62204084471916e-08,0.579343879712746,"roc_auc","binary",0.602787241190358,5,0.00354077861839997,"Preprocessor1_Model06","XGBOOST(Tuned)"
"13",225,35,8,8.14935050960968e-06,0.0835556289050765,0.492442107660696,"accuracy","binary",0.714890577933261,5,0.000667578034582712,"Preprocessor1_Model07","XGBOOST(Tuned)"
"14",225,35,8,8.14935050960968e-06,0.0835556289050765,0.492442107660696,"roc_auc","binary",0.602161524440461,5,0.00367005105632871,"Preprocessor1_Model07","XGBOOST(Tuned)"
"15",284,3,2,7.68185852954058e-10,7.63676720363748e-10,0.291362190298736,"accuracy","binary",0.714222116363746,5,0.000161967013214597,"Preprocessor1_Model08","XGBOOST(Tuned)"
