,.metric,.estimator,mean,n,std_err,.config,model,penalty,mixture,mtry,trees,min_n
1,accuracy,binary,0.716005095,5,0.000838289,Preprocessor1_Model1,Logistic Regression,NA,NA,NA,NA,NA
2,f_meas,binary,0.833899444,5,0.000329673,Preprocessor1_Model1,Logistic Regression,NA,NA,NA,NA,NA
3,kap,binary,0.012777374,5,0.005471038,Preprocessor1_Model1,Logistic Regression,NA,NA,NA,NA,NA
4,roc_auc,binary,0.571467399,5,0.007071903,Preprocessor1_Model1,Logistic Regression,NA,NA,NA,NA,NA
5,sens,binary,0.99812756,5,0.000723299,Preprocessor1_Model1,Logistic Regression,NA,NA,NA,NA,NA
6,spec,binary,0.010918464,5,0.004595794,Preprocessor1_Model1,Logistic Regression,NA,NA,NA,NA,NA
7,accuracy,binary,0.703523005,5,0.003871637,Preprocessor1_Model1,Random Forest,NA,NA,NA,NA,NA
8,f_meas,binary,0.819608624,5,0.002356801,Preprocessor1_Model1,Random Forest,NA,NA,NA,NA,NA
9,kap,binary,0.06170963,5,0.014685299,Preprocessor1_Model1,Random Forest,NA,NA,NA,NA,NA
10,roc_auc,binary,0.610520164,5,0.010112377,Preprocessor1_Model1,Random Forest,NA,NA,NA,NA,NA
11,sens,binary,0.943039698,5,0.004357838,Preprocessor1_Model1,Random Forest,NA,NA,NA,NA,NA
12,spec,binary,0.104928119,5,0.012281743,Preprocessor1_Model1,Random Forest,NA,NA,NA,NA,NA
13,accuracy,binary,0.697173086,5,0.006827318,Preprocessor1_Model1,QDA,NA,NA,NA,NA,NA
14,f_meas,binary,0.813714238,5,0.005108936,Preprocessor1_Model1,QDA,NA,NA,NA,NA,NA
15,kap,binary,0.063739965,5,0.01371782,Preprocessor1_Model1,QDA,NA,NA,NA,NA,NA
16,roc_auc,binary,0.586210766,5,0.00267049,Preprocessor1_Model1,QDA,NA,NA,NA,NA,NA
17,sens,binary,0.926656729,5,0.010819707,Preprocessor1_Model1,QDA,NA,NA,NA,NA,NA
18,spec,binary,0.123642331,5,0.010203275,Preprocessor1_Model1,QDA,NA,NA,NA,NA,NA
19,accuracy,binary,0.646124118,5,0.007321741,Preprocessor1_Model1,Knn,NA,NA,NA,NA,NA
20,f_meas,binary,0.76487814,5,0.004708923,Preprocessor1_Model1,Knn,NA,NA,NA,NA,NA
21,kap,binary,0.057103489,5,0.02159823,Preprocessor1_Model1,Knn,NA,NA,NA,NA,NA
22,roc_auc,binary,0.563724347,5,0.013806302,Preprocessor1_Model1,Knn,NA,NA,NA,NA,NA
23,sens,binary,0.805865274,5,0.005219595,Preprocessor1_Model1,Knn,NA,NA,NA,NA,NA
24,spec,binary,0.24690622,5,0.017860014,Preprocessor1_Model1,Knn,NA,NA,NA,NA,NA
25,accuracy,binary,0.716005219,5,0.000789307,Preprocessor1_Model1,LDA,NA,NA,NA,NA,NA
26,f_meas,binary,0.833855856,5,0.000329083,Preprocessor1_Model1,LDA,NA,NA,NA,NA,NA
27,kap,binary,0.01343723,5,0.005168451,Preprocessor1_Model1,LDA,NA,NA,NA,NA,NA
