"",".metric",".estimator","mean","n","std_err",".config","model"
"1","accuracy","binary",0.716005219020783,5,0.000789307245039711,"Preprocessor1_Model1","LDA"
"2","f_meas","binary",0.833855856470229,5,0.000329083362032425,"Preprocessor1_Model1","LDA"
"3","kap","binary",0.0134372303385515,5,0.00516845144746564,"Preprocessor1_Model1","LDA"
"4","roc_auc","binary",0.570016627722364,5,0.00666148165613197,"Preprocessor1_Model1","LDA"
"5","sens","binary",0.997815547282313,5,0.000868513052990346,"Preprocessor1_Model1","LDA"
"6","spec","binary",0.0116989522417154,5,0.00444446151864229,"Preprocessor1_Model1","LDA"
"7","accuracy","binary",0.716005219020783,5,0.000789307245039711,"Preprocessor1_Model1","LDA"
"8","f_meas","binary",0.833855856470229,5,0.000329083362032425,"Preprocessor1_Model1","LDA"
"9","kap","binary",0.0134372303385515,5,0.00516845144746564,"Preprocessor1_Model1","LDA"
"10","roc_auc","binary",0.570016627722364,5,0.00666148165613197,"Preprocessor1_Model1","LDA"
"11","sens","binary",0.997815547282313,5,0.000868513052990346,"Preprocessor1_Model1","LDA"
"12","spec","binary",0.0116989522417154,5,0.00444446151864229,"Preprocessor1_Model1","LDA"
"13","accuracy","binary",0.716005219020783,5,0.000789307245039711,"Preprocessor1_Model1","LDA"
"14","f_meas","binary",0.833855856470229,5,0.000329083362032425,"Preprocessor1_Model1","LDA"
"15","kap","binary",0.0134372303385515,5,0.00516845144746564,"Preprocessor1_Model1","LDA"
"16","roc_auc","binary",0.570016627722364,5,0.00666148165613197,"Preprocessor1_Model1","LDA"
"17","sens","binary",0.997815547282313,5,0.000868513052990346,"Preprocessor1_Model1","LDA"
"18","spec","binary",0.0116989522417154,5,0.00444446151864229,"Preprocessor1_Model1","LDA"
"19","accuracy","binary",0.716005219020783,5,0.000789307245039711,"Preprocessor1_Model1","LDA"
"20","f_meas","binary",0.833855856470229,5,0.000329083362032425,"Preprocessor1_Model1","LDA"
"21","kap","binary",0.0134372303385515,5,0.00516845144746564,"Preprocessor1_Model1","LDA"
"22","roc_auc","binary",0.570016627722364,5,0.00666148165613197,"Preprocessor1_Model1","LDA"
"23","sens","binary",0.997815547282313,5,0.000868513052990346,"Preprocessor1_Model1","LDA"
"24","spec","binary",0.0116989522417154,5,0.00444446151864229,"Preprocessor1_Model1","LDA"
