"",".threshold","recall","precision","model"
"1",Inf,0,1,"Logistic regression"
"2",0.990788139859644,0.00015605493133583,1,"Logistic regression"
"3",0.989532123362831,0.00031210986267166,1,"Logistic regression"
"4",0.988310926822162,0.00031210986267166,0.666666666666667,"Logistic regression"
"5",0.988052163465439,0.000468164794007491,0.75,"Logistic regression"
"6",0.986956045952785,0.000624219725343321,0.8,"Logistic regression"
"7",0.985109690109199,0.000624219725343321,0.666666666666667,"Logistic regression"
"8",0.984282491634035,0.000780274656679151,0.714285714285714,"Logistic regression"
"9",0.982065904428387,0.000936329588014981,0.75,"Logistic regression"
"10",0.960883968604419,0.000936329588014981,0.666666666666667,"Logistic regression"
"11",0.95584387383929,0.000936329588014981,0.6,"Logistic regression"
"12",0.946149911520739,0.00109238451935081,0.636363636363636,"Logistic regression"
"13",0.939515334821765,0.00124843945068664,0.666666666666667,"Logistic regression"
"14",0.933242271855357,0.00140449438202247,0.692307692307692,"Logistic regression"
"15",0.931600291980086,0.00140449438202247,0.642857142857143,"Logistic regression"
"16",0.919912349858433,0.0015605493133583,0.666666666666667,"Logistic regression"
"17",0.913426460885969,0.00171660424469413,0.6875,"Logistic regression"
"18",0.905693025531279,0.00171660424469413,0.647058823529412,"Logistic regression"
"19",0.905276276502983,0.00187265917602996,0.666666666666667,"Logistic regression"
"20",0.898699673952151,0.00202871410736579,0.684210526315789,"Logistic regression"
"21",0.898294471954947,0.00218476903870162,0.7,"Logistic regression"
"22",0.897854406527748,0.00234082397003745,0.714285714285714,"Logistic regression"
"23",0.895595728954413,0.00234082397003745,0.681818181818182,"Logistic regression"
"24",0.894317505374411,0.00249687890137328,0.695652173913043,"Logistic regression"
"25",0.893656040051037,0.00265293383270911,0.708333333333333,"Logistic regression"
"26",0.892622064890434,0.00280898876404494,0.72,"Logistic regression"
"27",0.891703710542825,0.00280898876404494,0.692307692307692,"Logistic regression"
"28",0.891617616296191,0.00296504369538077,0.703703703703704,"Logistic regression"
"29",0.890512089900836,0.0031210986267166,0.714285714285714,"Logistic regression"
"30",0.889811544239236,0.00327715355805243,0.724137931034483,"Logistic regression"
"31",0.889369850523289,0.00327715355805243,0.7,"Logistic regression"
"32",0.887486875359762,0.00343320848938826,0.709677419354839,"Logistic regression"
"33",0.887212866205058,0.00343320848938826,0.6875,"Logistic regression"
"34",0.885495974042772,0.00358926342072409,0.696969696969697,"Logistic regression"
"35",0.88523980721939,0.00358926342072409,0.676470588235294,"Logistic regression"
"36",0.884948548108556,0.00358926342072409,0.657142857142857,"Logistic regression"
"37",0.883918429839762,0.00358926342072409,0.638888888888889,"Logistic regression"
"38",0.882514394938192,0.00374531835205993,0.648648648648649,"Logistic regression"
"39",0.881041407083223,0.00374531835205993,0.631578947368421,"Logistic regression"
"40",0.880888947426443,0.00374531835205993,0.615384615384615,"Logistic regression"
"41",0.879113866660582,0.00390137328339576,0.625,"Logistic regression"
"42",0.878869200393408,0.00405742821473159,0.634146341463415,"Logistic regression"
"43",0.878788942884437,0.00405742821473159,0.619047619047619,"Logistic regression"
"44",0.878431129099675,0.00421348314606742,0.627906976744186,"Logistic regression"
"45",0.877949718875631,0.00436953807740325,0.636363636363636,"Logistic regression"
"46",0.876400968516879,0.00436953807740325,0.622222222222222,"Logistic regression"
"47",0.875819669628635,0.00452559300873908,0.630434782608696,"Logistic regression"
"48",0.875621168420197,0.00468164794007491,0.638297872340426,"Logistic regression"
"49",0.875568191195484,0.00483770287141074,0.645833333333333,"Logistic regression"
"50",0.875204696875486,0.00499375780274657,0.653061224489796,"Logistic regression"
"51",0.87454265235893,0.00499375780274657,0.64,"Logistic regression"
"52",0.874499692337169,0.0051498127340824,0.647058823529412,"Logistic regression"
"53",0.87442199728111,0.00530586766541823,0.653846153846154,"Logistic regression"
"54",0.874050743028008,0.00546192259675406,0.660377358490566,"Logistic regression"
"55",0.873401275588958,0.00561797752808989,0.666666666666667,"Logistic regression"
"56",0.873328039173166,0.00577403245942572,0.672727272727273,"Logistic regression"
"57",0.872908935083131,0.00593008739076155,0.678571428571429,"Logistic regression"
"58",0.872571447986113,0.00608614232209738,0.684210526315789,"Logistic regression"
"59",0.872439537993616,0.00624219725343321,0.689655172413793,"Logistic regression"
"60",0.872062925504103,0.00639825218476904,0.694915254237288,"Logistic regression"
"61",0.87203413516568,0.00655430711610487,0.7,"Logistic regression"
"62",0.871672236809531,0.0067103620474407,0.704918032786885,"Logistic regression"
"63",0.870393749640173,0.00686641697877653,0.709677419354839,"Logistic regression"
"64",0.870320556606529,0.00702247191011236,0.714285714285714,"Logistic regression"
"65",0.870303055005262,0.00717852684144819,0.71875,"Logistic regression"
"66",0.870032212045132,0.00733458177278402,0.723076923076923,"Logistic regression"
"67",0.87000287044294,0.00749063670411985,0.727272727272727,"Logistic regression"
"68",0.869979815812052,0.00764669163545568,0.73134328358209,"Logistic regression"
"69",0.869758888713156,0.00780274656679151,0.735294117647059,"Logistic regression"
"70",0.869686311681895,0.00795880149812734,0.739130434782609,"Logistic regression"
"71",0.869280129205455,0.00795880149812734,0.728571428571429,"Logistic regression"
"72",0.868796534991154,0.00811485642946317,0.732394366197183,"Logistic regression"
"73",0.868795091615767,0.008270911360799,0.736111111111111,"Logistic regression"
"74",0.868312725969502,0.00842696629213483,0.73972602739726,"Logistic regression"
"75",0.868082249535887,0.00858302122347066,0.743243243243243,"Logistic regression"
"76",0.867979979466631,0.00873907615480649,0.746666666666667,"Logistic regression"
"77",0.867323927573682,0.00889513108614232,0.75,"Logistic regression"
"78",0.866874709693238,0.00905118601747815,0.753246753246753,"Logistic regression"
"79",0.866754329455177,0.00920724094881398,0.756410256410256,"Logistic regression"
