"",".metric",".estimator","mean","n","std_err",".config","model"
"1","accuracy","binary",0.716005094736775,5,0.000838288512080534,"Preprocessor1_Model1","Logistic Regression"
"2","f_meas","binary",0.833899443912689,5,0.000329673433123834,"Preprocessor1_Model1","Logistic Regression"
"3","kap","binary",0.0127773736012929,5,0.0054710380754484,"Preprocessor1_Model1","Logistic Regression"
"4","roc_auc","binary",0.571467398638984,5,0.00707190257920563,"Preprocessor1_Model1","Logistic Regression"
"5","sens","binary",0.998127559762812,5,0.000723298986781253,"Preprocessor1_Model1","Logistic Regression"
"6","spec","binary",0.0109184636939571,5,0.00459579425519657,"Preprocessor1_Model1","Logistic Regression"
"7","accuracy","binary",0.703523004671047,5,0.00387163698432721,"Preprocessor1_Model1","Random Forest"
"8","f_meas","binary",0.81960862394666,5,0.00235680052139201,"Preprocessor1_Model1","Random Forest"
"9","kap","binary",0.0617096300456259,5,0.0146852990009122,"Preprocessor1_Model1","Random Forest"
"10","roc_auc","binary",0.610520164168486,5,0.0101123768166835,"Preprocessor1_Model1","Random Forest"
"11","sens","binary",0.943039698168723,5,0.00435783778719257,"Preprocessor1_Model1","Random Forest"
"12","spec","binary",0.104928118908382,5,0.0122817426638329,"Preprocessor1_Model1","Random Forest"
"13","accuracy","binary",0.697173086050833,5,0.00682731817051518,"Preprocessor1_Model1","QDA"
"14","f_meas","binary",0.813714237883648,5,0.00510893556199906,"Preprocessor1_Model1","QDA"
"15","kap","binary",0.0637399653206241,5,0.0137178197474209,"Preprocessor1_Model1","QDA"
"16","roc_auc","binary",0.586210765749571,5,0.00267049009485867,"Preprocessor1_Model1","QDA"
"17","sens","binary",0.926656729032627,5,0.0108197074387456,"Preprocessor1_Model1","QDA"
"18","spec","binary",0.123642330653021,5,0.0102032750441919,"Preprocessor1_Model1","QDA"
"19","accuracy","binary",0.618038108424492,5,0.00756181519889968,"Preprocessor1_Model1","Knn"
"20","f_meas","binary",0.732925413651663,5,0.00513090461095857,"Preprocessor1_Model1","Knn"
"21","kap","binary",0.0625313238882649,5,0.019851221539549,"Preprocessor1_Model1","Knn"
"22","roc_auc","binary",0.561039177517076,5,0.0131775715606338,"Preprocessor1_Model1","Knn"
"23","sens","binary",0.733769809808786,5,0.00504799405348019,"Preprocessor1_Model1","Knn"
"24","spec","binary",0.32880878411306,5,0.0165501507931126,"Preprocessor1_Model1","Knn"
"25","accuracy","binary",0.697173086050833,5,0.00682731817051518,"Preprocessor1_Model1","LDA"
"26","f_meas","binary",0.813714237883648,5,0.00510893556199906,"Preprocessor1_Model1","LDA"
"27","kap","binary",0.0637399653206241,5,0.0137178197474209,"Preprocessor1_Model1","LDA"
"28","roc_auc","binary",0.586210765749571,5,0.00267049009485867,"Preprocessor1_Model1","LDA"
"29","sens","binary",0.926656729032627,5,0.0108197074387456,"Preprocessor1_Model1","LDA"
"30","spec","binary",0.123642330653021,5,0.0102032750441919,"Preprocessor1_Model1","LDA"
"31","accuracy","binary",0.697173086050833,5,0.00682731817051518,"Preprocessor1_Model1","Naive bayes"
"32","f_meas","binary",0.813714237883648,5,0.00510893556199906,"Preprocessor1_Model1","Naive bayes"
"33","kap","binary",0.0637399653206241,5,0.0137178197474209,"Preprocessor1_Model1","Naive bayes"
"34","roc_auc","binary",0.586210765749571,5,0.00267049009485867,"Preprocessor1_Model1","Naive bayes"
"35","sens","binary",0.926656729032627,5,0.0108197074387456,"Preprocessor1_Model1","Naive bayes"
"36","spec","binary",0.123642330653021,5,0.0102032750441919,"Preprocessor1_Model1","Naive bayes"
"37","accuracy","binary",0.697173086050833,5,0.00682731817051518,"Preprocessor1_Model1","SVM"
"38","f_meas","binary",0.813714237883648,5,0.00510893556199906,"Preprocessor1_Model1","SVM"
"39","kap","binary",0.0637399653206241,5,0.0137178197474209,"Preprocessor1_Model1","SVM"
"40","roc_auc","binary",0.586210765749571,5,0.00267049009485867,"Preprocessor1_Model1","SVM"
"41","sens","binary",0.926656729032627,5,0.0108197074387456,"Preprocessor1_Model1","SVM"
"42","spec","binary",0.123642330653021,5,0.0102032750441919,"Preprocessor1_Model1","SVM"
